# Fysisk telling mot ekte kort (Trond, 2026-09-08) + koordinatene
# produksjonskjoeringen ga. Kode 65223c2, modus standard, rapport -8.
# Format: kort sider rutenett | x,y,w,h; x,y,w,h; ...
# ...eller "kort sider rutenett |" uten koordinater: sidetallet er talt,
# men vi har ingen kjoering som PRODUSERER det tallet aa hente geometri
# fra. Da foeres tallet alene - aa lime inn koordinater vi vet er gale
# ville pinnet feil geometri som fasit.
# Sidetallene er TELT PAA DE FYSISKE KORTENE og stemte eksakt.
# 612130000432_00024 er lagt til 2026-09-08 fra testrunde 2: IKKE fysisk
# telt, men rutenettet er fasit for at kvaliteten skal beskrive de leverte
# boksene - kortet rapporterte "6 rows: 13+12+12+12+1+13" ved 71.1 mens det
# leverte 5 rader a 12 ved en faktisk kvalitet paa 99.5.
612130000098_00012 54 5 rows: 12+12+12+12+6 | 1820,3135,2050,2790; 4000,3135,2050,2790; 6180,3135,2050,2790; 8360,3135,2050,2790; 10540,3135,2050,2790; 12720,3135,2050,2790; 14900,3130,2050,2790; 17080,3130,2050,2790; 19260,3130,2050,2790; 21440,3130,2050,2790; 23620,3130,2050,2790; 25800,3130,2050,2790; 2000,6570,2050,2790; 4180,6570,2050,2790; 6360,6570,2050,2790; 8540,6570,2050,2790; 10720,6570,2050,2790; 12900,6560,2050,2790; 15080,6555,2050,2790; 17260,6555,2050,2790; 19440,6555,2050,2790; 21620,6555,2050,2790; 23800,6555,2050,2790; 25980,6555,2050,2790; 2150,9990,2050,2790; 4330,9990,2050,2790; 6510,9990,2050,2790; 8690,9990,2050,2790; 10870,9990,2050,2790; 13050,9990,2050,2790; 15230,9985,2050,2790; 17410,9985,2050,2790; 19590,9985,2050,2790; 21770,9985,2050,2790; 23950,9985,2050,2790; 26130,9985,2050,2790; 2135,13440,2050,2790; 4315,13440,2050,2790; 6495,13440,2050,2790; 8675,13440,2050,2790; 10855,13440,2050,2790; 13035,13440,2050,2790; 15215,13440,2050,2790; 17395,13440,2050,2790; 19575,13440,2050,2790; 21755,13440,2050,2790; 23935,13440,2050,2790; 26115,13440,2050,2790; 12970,16865,2050,2790; 15150,16865,2050,2790; 17330,16865,2050,2790; 19510,16860,2050,2790; 21690,16850,2050,2790; 23870,16850,2050,2790
612130000111_00012 31 3 rows: 12+12+7 | 2020,3295,2040,2780; 4200,3295,2040,2780; 6380,3295,2040,2780; 8560,3295,2040,2780; 10740,3295,2040,2780; 12920,3295,2040,2780; 15100,3295,2040,2780; 17280,3295,2040,2780; 19460,3295,2040,2780; 21640,3295,2040,2780; 23820,3295,2040,2780; 26000,3295,2040,2780; 2225,6745,2040,2780; 4405,6745,2040,2780; 6585,6745,2040,2780; 8765,6745,2040,2780; 10945,6745,2040,2780; 13125,6740,2040,2780; 15305,6740,2040,2780; 17485,6740,2040,2780; 19665,6740,2040,2780; 21845,6740,2040,2780; 24025,6740,2040,2780; 26205,6740,2040,2780; 10870,10170,2040,2780; 13050,10170,2040,2780; 15230,10170,2040,2780; 17410,10170,2040,2780; 19590,10170,2040,2780; 21770,10170,2040,2780; 23950,10170,2040,2780
612130000135_00012 27 3 rows: 12+12+3 | 1880,3240,2040,2760; 4060,3210,2040,2760; 6240,3050,2040,2760; 8420,3050,2040,2760; 10600,3130,2040,2760; 12780,3050,2040,2760; 14960,3050,2040,2760; 17140,3050,2040,2760; 19320,3040,2040,2760; 21500,3040,2040,2760; 23680,3050,2040,2760; 25860,3040,2040,2760; 2010,6640,2040,2760; 4190,6640,2040,2760; 6370,6640,2040,2760; 8550,6640,2040,2760; 10730,6640,2040,2760; 12910,6640,2040,2760; 15090,6640,2040,2760; 17270,6640,2040,2760; 19450,6640,2040,2760; 21630,6640,2040,2760; 23810,6640,2040,2760; 25990,6640,2040,2760; 19260,10170,2040,2760; 21440,9940,2040,2760; 23620,9940,2040,2760
